"Usuario","CsvInicio","CsvFin","EnSistema","MatchesSistema","MatchesCuentaCompleta","IdSistema","Plataforma","Modalidad","Estado","SistemaInicio","SistemaFin","Problema"
"Ber_Rios","2022-09-07","2026-05-08","SI","1","1","146","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-09-07","2026-05-08","OK"
"LUISG151","2022-09-01","2026-07-15","SI","1","1","219","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-09-01","2026-07-15","OK"
"javier7762","2022-08-30","2026-06-04","SI","1","1","139","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-08-30","2026-06-04","OK"
"Fanola","2022-08-28","2026-07-24","NO","0","0","","","","","","","NO ESTA EN SISTEMA"
"juanaugusto75","2022-08-22","2026-05-22","SI","1","1","201","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-08-22","2026-05-22","OK"
"jorgeh104","2022-05-30","2026-10-30","SI","1","1","170","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-05-30","2026-10-30","OK"
"ghostbh","2022-05-14","2026-05-22","SI","1","1","164","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2022-05-14","2026-05-22","OK"
"Victort1979","2024-05-02","2026-10-18","NO","0","0","","","","","","","NO ESTA EN SISTEMA"
"Mgtvgh908","2024-04-29","2026-09-09","SI","1","1","231","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-04-29","2026-09-09","OK"
"Andres2405","2024-04-09","2026-05-29","SI","1","1","202","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-04-09","2026-05-29","OK"
"AmnerCh","2024-09-12","2026-06-24","SI","1","1","162","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-09-12","2026-06-24","OK"
"MiguelT74","2024-04-04","2026-05-04","SI","1","1","137","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-04-04","2026-05-04","OK"
"Jimenam24","2024-03-27","2026-05-04","SI","1","1","140","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-03-27","2026-05-04","OK"
"Kevinb548","2024-03-26","2026-07-04","SI","1","1","129","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-03-26","2026-07-04","OK"
"akf75","2024-03-25","2026-05-14","SI","1","1","155","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-03-25","2026-05-14","OK"
"Mgtvgh907","2024-03-24","2026-09-18","SI","1","1","233","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-03-24","2026-09-18","OK"
"Erick287","2024-03-22","2026-04-25","SI","1","1","246","Flujo TV (Cuenta Completa)","Cuenta completa","VENCIDO","2024-03-22","2026-03-25","NO ACTIVO EN SISTEMA; FECHA FIN DIFERENTE"
"Nehemias2014","2024-03-19","2026-06-08","SI","1","1","148","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-03-19","2026-06-08","OK"
"Gato4924","2024-02-07","2026-06-07","SI","1","1","208","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-02-07","2026-06-07","OK"
"Dabarca","2024-01-27","2026-11-28","SI","1","1","185","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2024-01-27","2026-11-28","OK"
"Antonio2945","2023-12-27","2026-05-04","SI","1","1","128","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-12-27","2026-07-04","FECHA FIN DIFERENTE"
"IvanT28","2023-11-26","2026-06-27","SI","1","1","214","Flujo TV (Cuenta Completa)","Cuenta completa","ACTIVO","2023-11-26","2026-06-27","OK"
